=== Regression Results ===
R² (Train): 0.2287
R² (Test): 0.0118
RMSE (Train): 4.6440
RMSE (Test): 5.2910

=== Feature Coefficients ===
                                    Feature  Coefficient  Abs_Coefficient
               onehot__route_variant_309-99    11.468788        11.468788
           onehot__route_variant_6068-46051    11.429186        11.429186
               onehot__route_variant_891-16    11.372599        11.372599
               onehot__route_variant_2582-4    11.362014        11.362014
             onehot__route_variant_s208-901    11.323954        11.323954
              onehot__route_variant_757-215    11.312181        11.312181
                onehot__route_variant_761-5    11.249067        11.249067
               onehot__route_variant_9106-1    11.185631        11.185631
               onehot__route_variant_799-24    11.063192        11.063192
              onehot__route_variant_2585-24    11.007577        11.007577
               onehot__route_variant_775-28    10.903183        10.903183
               onehot__route_variant_513-21    10.862163        10.862163
                onehot__route_variant_256-8    10.789919        10.789919
              onehot__route_variant_757-153    10.750867        10.750867
              onehot__route_variant_3530-10    10.725939        10.725939
               onehot__route_variant_x94-14    10.692031        10.692031
               onehot__route_variant_295-22    10.658755        10.658755
               onehot__route_variant_755s-2    10.648329        10.648329
               onehot__route_variant_648n-3    10.613865        10.613865
               onehot__route_variant_icc4-2    10.597150        10.597150
               onehot__route_variant_504-36    10.596184        10.596184
               onehot__route_variant_e68-23    10.549067        10.549067
               onehot__route_variant_ict6-2    10.518492        10.518492
               onehot__route_variant_9054-1    10.489457        10.489457
           onehot__route_variant_5037-33043    10.434171        10.434171
               onehot__route_variant_692w-1    10.378163        10.378163
               onehot__route_variant_x73-11    10.377454        10.377454
               onehot__route_variant_377-19    10.375344        10.375344
               onehot__route_variant_1020-1    10.322407        10.322407
               onehot__route_variant_710n-2    10.298058        10.298058
              onehot__route_variant_630-160    10.231650        10.231650
                onehot__route_variant_x04-4    10.219279        10.219279
               onehot__route_variant_776-45    10.211434        10.211434
               onehot__route_variant_2001-9    10.209907        10.209907
               onehot__route_variant_452-12    10.209219        10.209219
               onehot__route_variant_895-25    10.194335        10.194335
               onehot__route_variant_887-17    10.123577        10.123577
               onehot__route_variant_6470-8    10.042449        10.042449
                onehot__route_variant_895-4    10.031019        10.031019
              onehot__route_variant_2047-15     9.962147         9.962147
               onehot__route_variant_391-22     9.922363         9.922363
               onehot__route_variant_596w-1     9.918329         9.918329
               onehot__route_variant_343-28     9.901930         9.901930
               onehot__route_variant_654s-1     9.894840         9.894840
                onehot__route_variant_887-9     9.883778         9.883778
                onehot__route_variant_664-7     9.864972         9.864972
                onehot__route_variant_733-1     9.837132         9.837132
               onehot__route_variant_8506-1     9.831844         9.831844
               onehot__route_variant_584s-1     9.818097         9.818097
               onehot__route_variant_6635-8     9.810582         9.810582
                onehot__route_variant_kw5-1     9.762702         9.762702
               onehot__route_variant_238-14     9.735297         9.735297
               onehot__route_variant_9621-4     9.714512         9.714512
                onehot__route_variant_841-7     9.658377         9.658377
               onehot__route_variant_580n-2     9.650626         9.650626
              onehot__route_variant_808-290     9.649432         9.649432
               onehot__route_variant_373-22     9.644499         9.644499
                onehot__route_variant_894-2     9.596464         9.596464
               onehot__route_variant_415-60     9.585888         9.585888
               onehot__route_variant_400-78     9.521508         9.521508
               onehot__route_variant_s605-1     9.517089         9.517089
               onehot__route_variant_ncs3-2     9.504890         9.504890
            onehot__route_variant_4105-9013     9.502344         9.502344
               onehot__route_variant_1651-5     9.494359         9.494359
              onehot__route_variant_507-152     9.473144         9.473144
               onehot__route_variant_595w-1     9.446055         9.446055
                onehot__route_variant_103-1     9.433594         9.433594
              onehot__route_variant_3521-11     9.402444         9.402444
                onehot__route_variant_258-6     9.367442         9.367442
               onehot__route_variant_620e-2     9.361461         9.361461
               onehot__route_variant_673-38     9.324100         9.324100
           onehot__route_variant_6557-53107     9.286016         9.286016
                onehot__route_variant_943-3     9.271871         9.271871
                onehot__route_variant_265-1     9.244012         9.244012
               onehot__route_variant_99-290     9.243570         9.243570
                onehot__route_variant_x77-9     9.237940         9.237940
               onehot__route_variant_611s-1     9.213449         9.213449
                onehot__route_variant_860-6     9.207510         9.207510
               onehot__route_variant_506-89     9.175639         9.175639
               onehot__route_variant_726w-1     9.128818         9.128818
              onehot__route_variant_195s3-1     9.119441         9.119441
               onehot__route_variant_270-82     9.110199         9.110199
               onehot__route_variant_526-20     9.069119         9.069119
                onehot__route_variant_216-1     9.032444         9.032444
               onehot__route_variant_775-39     9.026398         9.026398
                 onehot__route_variant_8d-1     9.023937         9.023937
              onehot__route_variant_804-568     8.981836         8.981836
                onehot__route_variant_sm5-1     8.975946         8.975946
                onehot__route_variant_381-9     8.968854         8.968854
              onehot__route_variant_394-158     8.964381         8.964381
               onehot__route_variant_525-49     8.962272         8.962272
               onehot__route_variant_645s-2     8.952812         8.952812
               onehot__route_variant_8641-7     8.935739         8.935739
               onehot__route_variant_553-13     8.922635         8.922635
               onehot__route_variant_470-57     8.921471         8.921471
              onehot__route_variant_3596-21     8.905384         8.905384
              onehot__route_variant_t75-239     8.840939         8.840939
               onehot__route_variant_8039-1     8.819672         8.819672
                onehot__route_variant_82-74     8.803926         8.803926
