=== Regression Results ===
R² (Train): 0.4292
R² (Test): -0.0170
RMSE (Train): 13.9432
RMSE (Test): 37.8120

=== Feature Coefficients ===
                             Feature  Coefficient  Abs_Coefficient
                 transit_stop_206653     0.082875         0.082875
                 transit_stop_210354     0.082685         0.082685
            transit_stop_sequence_14    -0.082581         0.082581
                 transit_stop_201860     0.082374         0.082374
                   depot_glendenning     0.082312         0.082312
                 transit_stop_201750     0.081924         0.081924
               route_variant_t66-109     0.081531         0.081531
                route_variant_197-20     0.081245         0.081245
                 transit_stop_207351     0.081245         0.081245
                 transit_stop_200067    -0.080711         0.080711
                 transit_stop_204668     0.080192         0.080192
                 transit_stop_213182     0.080068         0.080068
                 transit_stop_212237     0.079940         0.079940
                    suburb_edgecliff     0.079628         0.079628
                route_variant_584n-2     0.079227         0.079227
                 transit_stop_209252     0.079227         0.079227
                          route_584n     0.079227         0.079227
 bus_configuration_two door city bus    -0.078744         0.078744
                 transit_stop_200013    -0.078620         0.078620
                transit_stop_2088181     0.078310         0.078310
                          route_652x    -0.078146         0.078146
                       suburb_dundas     0.077799         0.077799
                      suburb_hornsby    -0.077787         0.077787
                transit_stop_2320187    -0.077688         0.077688
                 transit_stop_221219     0.077670         0.077670
                route_variant_353-13     0.077549         0.077549
                     day_of_week_sin    -0.077383         0.077383
                route_variant_611-96    -0.077290         0.077290
                 transit_stop_203594     0.077107         0.077107
                 transit_stop_208211     0.076894         0.076894
                  suburb_castle hill    -0.076627         0.076627
                 transit_stop_200017     0.076613         0.076613
                 transit_stop_211356     0.076374         0.076374
                transit_stop_2234166     0.076142         0.076142
                 route_variant_597-7    -0.076094         0.076094
                 transit_stop_208150    -0.076094         0.076094
                 transit_stop_208144    -0.075506         0.075506
                 transit_stop_206730     0.075437         0.075437
                 transit_stop_203119     0.075391         0.075391
                 transit_stop_211153     0.075260         0.075260
                 transit_stop_215479    -0.075252         0.075252
                transit_stop_2148451    -0.075164         0.075164
                route_variant_m20-16     0.075147         0.075147
