=== Regression Results ===
R² (Train): 0.0829
R² (Test): 0.0542
RMSE (Train): 5.0642
RMSE (Test): 5.1763

=== Feature Coefficients ===
                                    Feature  Coefficient  Abs_Coefficient
         onehot__suburb_sydney olympic park     0.805430         0.805430
               onehot__route_variant_944-32     0.804990         0.804990
                 onehot__suburb_spring hill     0.804246         0.804246
               onehot__route_variant_207-48     0.801893         0.801893
                 onehot__suburb_bondi beach     0.800418         0.800418
                onehot__route_variant_78-54     0.800415         0.800415
             onehot__suburb_rushcutters bay     0.795730         0.795730
                onehot__suburb_terrey hills     0.792085         0.792085
              onehot__route_variant_290-124     0.791840         0.791840
                   onehot__suburb_oran park     0.783774         0.783774
                onehot__route_variant_911-3     0.777108         0.777108
                onehot__suburb_camden south     0.773114         0.773114
               onehot__route_variant_377-19     0.766634         0.766634
           onehot__suburb_killarney heights     0.766102         0.766102
              onehot__route_variant_t75-237     0.765234         0.765234
              onehot__route_variant_288-122     0.763283         0.763283
               onehot__route_variant_728-14     0.762273         0.762273
               onehot__route_variant_536-18     0.761896         0.761896
               onehot__route_variant_333-44     0.761573         0.761573
                onehot__route_variant_280-7     0.761414         0.761414
                onehot__route_variant_450-9     0.759501         0.759501
                onehot__route_variant_558-4     0.756024         0.756024
              onehot__route_variant_626-108     0.752965         0.752965
              onehot__route_variant_438-113     0.750717         0.750717
               onehot__route_variant_780-38     0.745335         0.745335
               onehot__route_variant_439-34     0.739735         0.739735
            onehot__suburb_summer hill 2130     0.727876         0.727876
               onehot__route_variant_e71-17     0.727202         0.727202
                    onehot__suburb_seaforth     0.726480         0.726480
                onehot__suburb_forest lodge     0.720561         0.720561
              onehot__suburb_elderslie 2570     0.719337         0.719337
              onehot__route_variant_288-117     0.719143         0.719143
               onehot__route_variant_151-49     0.715929         0.715929
               onehot__route_variant_310-31     0.713471         0.713471
                    onehot__suburb_glenwood     0.711219         0.711219
              onehot__route_variant_394-148     0.706312         0.706312
                 onehot__suburb_castle cove     0.704247         0.704247
               onehot__route_variant_400-76     0.702742         0.702742
                onehot__route_variant_946-1     0.702648         0.702648
                   onehot__suburb_newington     0.700236         0.700236
               onehot__route_variant_546-22     0.697014         0.697014
                     onehot__suburb_dee why     0.691294         0.691294
               onehot__route_variant_490-44     0.689309         0.689309
                      onehot__suburb_camden     0.686249         0.686249
               onehot__route_variant_544-64     0.679296         0.679296
                onehot__route_variant_196-9     0.671693         0.671693
